,Inf,Name,Position,Nat,Age,Club,Transfer Value,Wage,Min AP,Min Fee Rls,Min Fee Rls to Foreign Clubs,Personality,Media Handling,Left Foot,Right Foot,1v1,Acc,Aer,Agg,Agi,Ant,Bal,Bra,Cmd,Cnt,Cmp,Cro,Dec,Det,Dri,Fin,Fir,Fla,Han,Hea,Jum,Kic,Ldr,Lon,Mar,OtB,Pac,Pas,Pos,Ref,Sta,Str,Tck,Tea,Tec,Thr,TRO,Vis,Wor,Cor,Height,Injury Risk,Expires,,Min Value,Max Value,Avg Value,height_feet,height_inch,height_cm,Months Remaining
513,     , Johannes Naschberger          ," M (RC), AM (C)                   ", AUT ,23.0, WSG Tirol                 , £100K - £1M     ,975.0, -       , -           , -                            , Balanced            , Level-headed                , Fairly Strong , Very Strong   ,4.0,14.0,1.0,5.0,13.0,12.0,9.0,11.0,4.0,10.0,10.0,9.0,10.0,13.0,13.0,7.0,12.0,4.0,1.0,8.0,9.0,2.0,8.0,8.0,8.0,14.0,13.0,10.0,11.0,3.0,13.0,10.0,10.0,11.0,13.0,1.0,1.0,11.0,13.0,8.0," 5'8""   ", Increased   ,2024-06-30, ,100000.0,1000000.0,550000.0,5,8,172.72,10.0
515,     , Koffi Kouao                   , D/WB (R)                         , CIV ,25.0, FC Metz                   , £1.4M - £2.8M   ,5250.0, -       , -           , -                            , Balanced            , Media-friendly              , Reasonable    , Very Strong   ,2.0,14.0,2.0,13.0,14.0,13.0,11.0,14.0,1.0,11.0,10.0,13.0,12.0,14.0,12.0,8.0,10.0,13.0,3.0,6.0,7.0,1.0,9.0,12.0,9.0,12.0,14.0,12.0,11.0,1.0,15.0,10.0,14.0,12.0,11.0,2.0,3.0,11.0,14.0,8.0," 5'8""   ", Low         ,2026-06-30, ,1400000.0,2800000.0,2100000.0,5,8,172.72,34.0
517,     , Fin Stevens                   , D (R)                            , WAL ,20.0, Oxford United             , £6.6M - £8.2M   ,15000.0, -       , -           , -                            , Balanced            , Media-friendly              , Reasonable    , Very Strong   ,2.0,13.0,3.0,12.0,13.0,12.0,12.0,13.0,3.0,12.0,12.0,12.0,12.0,14.0,12.0,8.0,12.0,11.0,1.0,11.0,7.0,3.0,8.0,8.0,11.0,7.0,13.0,12.0,12.0,3.0,13.0,11.0,12.0,12.0,12.0,3.0,3.0,13.0,13.0,11.0," 5'8""   ", Low         ,2027-06-30, ,6600000.0,8199999.999999999,7400000.0,5,8,172.72,46.0
519,     , Tomás Silva                   ," D/WB (R), M (C)                  ", POR ,23.0, VIZ                       , £110K - £1.1M   ,1400.0, -       , -           , -                            , Fairly Determined   , Level-headed                , Reasonable    , Very Strong   ,3.0,13.0,1.0,14.0,13.0,13.0,11.0,14.0,3.0,12.0,11.0,13.0,11.0,15.0,12.0,9.0,13.0,13.0,1.0,8.0,6.0,3.0,10.0,10.0,5.0,12.0,13.0,11.0,10.0,1.0,15.0,7.0,15.0,14.0,13.0,2.0,3.0,12.0,15.0,11.0," 5'8""   ", Low         ,2024-06-30, ,110000.0,1100000.0,605000.0,5,8,172.72,10.0
521, Inj , Pablo Maffeo                  , D/WB (R)                         , ITA ,26.0, Mallorca                  , £7.4M - £8.8M   ,24500.0, -       , £21.5M      , -                            , Ambitious           , Media-friendly              , Fairly Strong , Very Strong   ,3.0,16.0,1.0,15.0,15.0,12.0,15.0,16.0,2.0,11.0,10.0,13.0,11.0,17.0,13.0,7.0,11.0,13.0,2.0,9.0,8.0,3.0,10.0,11.0,13.0,13.0,14.0,12.0,12.0,2.0,15.0,12.0,15.0,14.0,12.0,2.0,3.0,10.0,17.0,6.0," 5'8""   ", Increased   ,2026-06-30, ,7400000.0,8800000.0,8100000.0,5,8,172.72,34.0
523, Sct , David Brooks                  ," M (R), AM (RC)                   ", WAL ,26.0, Southampton               , £12M - £17.5M   ,35000.0, £12M    , -           , -                            , Fairly Ambitious    , Level-headed                , Very Strong   , Reasonable    ,3.0,14.0,2.0,6.0,16.0,14.0,15.0,6.0,4.0,9.0,14.0,11.0,12.0,14.0,15.0,13.0,14.0,17.0,3.0,8.0,6.0,3.0,5.0,8.0,7.0,15.0,15.0,14.0,8.0,3.0,11.0,7.0,9.0,12.0,15.0,3.0,3.0,15.0,15.0,9.0," 5'8""   ", Increased   ,2026-06-30, ,12000000.0,17500000.0,14750000.0,5,8,172.72,34.0
525,     , Israel Poblete                ," M (RLC), AM (RL)                 ", CHI ,28.0, Univ. de Chile            , £220K - £2.2M   ,3000.0, -       , -           , -                            , Balanced            , Media-friendly              , Strong        , Very Strong   ,3.0,12.0,1.0,10.0,12.0,12.0,11.0,9.0,2.0,11.0,11.0,11.0,10.0,9.0,12.0,7.0,12.0,8.0,1.0,7.0,10.0,3.0,8.0,10.0,8.0,13.0,13.0,12.0,9.0,1.0,15.0,9.0,9.0,14.0,12.0,1.0,3.0,13.0,14.0,10.0," 5'8""   ", Normal      ,2024-12-31, ,220000.0,2200000.0,1210000.0,5,8,172.72,16.0
527, Inj , Paolo Fernandes               , AM (RLC)                         , CPV ,25.0, AEK                       , £1.9M - £3.9M   ,4200.0, -       , -           , -                            , Balanced            , Media-friendly              , Very Strong   , Reasonable    ,3.0,14.0,3.0,8.0,15.0,9.0,12.0,8.0,3.0,9.0,12.0,13.0,12.0,11.0,16.0,12.0,14.0,16.0,1.0,7.0,7.0,2.0,5.0,14.0,6.0,13.0,12.0,13.0,7.0,2.0,12.0,7.0,5.0,11.0,16.0,3.0,1.0,13.0,9.0,15.0," 5'8""   ", High        ,2027-06-30, ,1900000.0,3900000.0,2900000.0,5,8,172.72,46.0
529,     , Marius Ştefănescu             , AM (RL)                          , ROU ,24.0, Sepsi OSK                 , £1.8M - £3.7M   ,2200.0, -       , -           , -                            , Balanced            , Media-friendly              , Very Strong   , Weak          ,1.0,13.0,1.0,8.0,13.0,11.0,13.0,12.0,1.0,11.0,12.0,13.0,12.0,13.0,13.0,12.0,12.0,7.0,1.0,10.0,11.0,3.0,5.0,10.0,10.0,11.0,13.0,12.0,13.0,1.0,13.0,12.0,10.0,13.0,12.0,1.0,3.0,13.0,12.0,10.0," 5'8""   ", Low         ,2026-06-30, ,1800000.0,3700000.0,2750000.0,5,8,172.72,34.0
531,     , Sávio                         , AM (RL)                          , BRA ,19.0, Girona                    , £9.8M - £14.5M  ,29500.0, -       , -           , -                            , Spirited            , Level-headed                , Very Strong   , Weak          ,2.0,16.0,2.0,8.0,17.0,13.0,13.0,9.0,3.0,12.0,12.0,14.0,12.0,15.0,17.0,11.0,15.0,17.0,1.0,3.0,11.0,3.0,12.0,10.0,5.0,15.0,16.0,12.0,6.0,2.0,12.0,7.0,4.0,12.0,16.0,1.0,1.0,15.0,11.0,12.0," 5'8""   ", Low         ,2027-06-30, ,9800000.0,14500000.0,12150000.0,5,8,172.72,46.0
533,     , Yusuf Demir                   ," M (C), AM (RC)                   ", AUT ,20.0, Basel                     , £5.4M - £6.8M   ,13500.0, -       , -           , -                            , Fairly Professional , Reserved                    , Very Strong   , Reasonable    ,1.0,14.0,4.0,7.0,15.0,11.0,12.0,11.0,2.0,11.0,10.0,9.0,10.0,14.0,15.0,10.0,14.0,15.0,1.0,7.0,8.0,3.0,5.0,12.0,5.0,12.0,12.0,13.0,6.0,1.0,11.0,7.0,6.0,10.0,16.0,3.0,2.0,13.0,9.0,12.0," 5'8""   ", Low         ,2026-06-30, ,5400000.0,6800000.0,6100000.0,5,8,172.72,34.0
535,     , Wes Burns                     , WB/M/AM (R)                      , WAL ,28.0, Ipswich                   , £4.7M - £7M     ,12500.0, -       , -           , -                            , Balanced            , Media-friendly              , Weak          , Very Strong   ,1.0,16.0,3.0,9.0,13.0,11.0,12.0,10.0,3.0,9.0,8.0,13.0,12.0,12.0,12.0,13.0,11.0,14.0,3.0,11.0,8.0,2.0,8.0,11.0,5.0,13.0,15.0,10.0,10.0,2.0,12.0,12.0,12.0,13.0,11.0,2.0,3.0,9.0,15.0,9.0," 5'8""   ", Increased   ,2025-06-30, ,4700000.0,7000000.0,5850000.0,5,8,172.72,22.0
537,     , Kevin Rüegg                   , D/WB (R)                         , SUI ,25.0, Basel                     , £200K - £2M     ,9250.0, -       , -           , -                            , Balanced            , Level-headed                , Reasonable    , Very Strong   ,1.0,13.0,1.0,10.0,12.0,11.0,14.0,13.0,1.0,12.0,13.0,9.0,12.0,12.0,9.0,6.0,12.0,8.0,3.0,8.0,8.0,2.0,11.0,9.0,11.0,12.0,14.0,12.0,12.0,2.0,13.0,12.0,13.0,13.0,13.0,3.0,1.0,10.0,13.0,7.0," 5'8""   ", Low         ,2025-06-30, ,200000.0,2000000.0,1100000.0,5,8,172.72,22.0
539,     , Elliot Embleton               ," DM, M/AM (C)                     ", ENG ,24.0, Sunderland                , £120K - £1.2M   ,7500.0, -       , -           , -                            , Balanced            , Media-friendly              , Very Strong   , Very Strong   ,1.0,11.0,2.0,8.0,11.0,11.0,11.0,10.0,1.0,10.0,12.0,11.0,9.0,12.0,11.0,9.0,11.0,12.0,3.0,4.0,9.0,3.0,8.0,11.0,9.0,11.0,12.0,11.0,9.0,2.0,14.0,8.0,7.0,13.0,13.0,3.0,2.0,12.0,11.0,12.0," 5'8""   ", Increased   ,2025-06-30, ,120000.0,1200000.0,660000.0,5,8,172.72,22.0
541,     , Ryan Woods                    ," DM, M (C)                        ", ENG ,29.0, Exeter                    , £150K - £450K   ,8500.0, -       , -           , -                            , Fairly Professional , Reserved                    , Reasonable    , Very Strong   ,4.0,9.0,1.0,11.0,11.0,13.0,13.0,11.0,1.0,12.0,13.0,11.0,12.0,9.0,11.0,8.0,14.0,10.0,3.0,11.0,8.0,3.0,12.0,11.0,9.0,10.0,8.0,15.0,10.0,2.0,11.0,8.0,9.0,14.0,15.0,2.0,2.0,13.0,14.0,12.0," 5'8""   ", Very High   ,2025-06-30, ,150000.0,450000.0,300000.0,5,8,172.72,22.0
543,     , Marcelino Núñez               ," M (C), AM (RC)                   ", CHI ,23.0, Norwich                   , £10M - £12.5M   ,18000.0, -       , -           , -                            , Resolute            , Level-headed                , Reasonable    , Very Strong   ,3.0,11.0,1.0,9.0,13.0,11.0,13.0,11.0,1.0,11.0,16.0,13.0,11.0,16.0,14.0,10.0,14.0,16.0,1.0,6.0,9.0,1.0,7.0,14.0,6.0,13.0,11.0,15.0,10.0,1.0,12.0,8.0,8.0,13.0,16.0,4.0,3.0,15.0,12.0,14.0," 5'8""   ", High        ,2026-06-30, ,10000000.0,12500000.0,11250000.0,5,8,172.72,34.0
547,     , Mamadou Diagne                ," DM, M/AM (C)                     ", SEN ,19.0, Skövde AIK                , £100K - £1M     ,500.0, -       , -           , -                            , Balanced            , Media-friendly              , Weak          , Very Strong   ,1.0,13.0,2.0,10.0,13.0,11.0,11.0,10.0,1.0,11.0,13.0,7.0,11.0,13.0,12.0,8.0,13.0,7.0,1.0,7.0,6.0,3.0,7.0,8.0,7.0,10.0,13.0,12.0,8.0,2.0,12.0,12.0,11.0,10.0,12.0,2.0,3.0,11.0,10.0,8.0," 5'8""   ", Low         ,2025-12-31, ,100000.0,1000000.0,550000.0,5,8,172.72,28.0
549, Wnt , Ibrahim Said                  , AM (RL)                          , NGA ,21.0, Viborg FF                 , £120K - £1.2M   ,1500.0, -       , -           , -                            , Balanced            , Media-friendly              , Fairly Strong , Very Strong   ,2.0,14.0,3.0,14.0,13.0,10.0,8.0,10.0,3.0,11.0,10.0,11.0,14.0,10.0,12.0,11.0,11.0,11.0,3.0,8.0,7.0,2.0,6.0,9.0,11.0,14.0,13.0,12.0,10.0,3.0,10.0,11.0,12.0,12.0,13.0,3.0,4.0,11.0,11.0,11.0," 5'8""   ", Low         ,2026-06-30, ,120000.0,1200000.0,660000.0,5,8,172.72,34.0
551,     , Josep Cerdà                   , M/AM (LC)                        , ESP ,20.0, Ponferrada                , £110K - £350K   ,1600.0, -       , £43M        , -                            , Balanced            , Level-headed                , Weak          , Very Strong   ,2.0,13.0,3.0,6.0,14.0,7.0,10.0,9.0,1.0,8.0,9.0,9.0,12.0,14.0,14.0,9.0,13.0,15.0,4.0,6.0,5.0,1.0,6.0,10.0,5.0,13.0,12.0,13.0,6.0,3.0,10.0,7.0,6.0,11.0,14.0,2.0,2.0,12.0,7.0,10.0," 5'8""   ", Normal      ,2024-06-30, ,110000.0,350000.0,230000.0,5,8,172.72,10.0
553,     , Liam Burt                     , AM (RLC)                         , SCO ,24.0, Shelbourne                , £300K - £850K   ,1000.0, -       , -           , -                            , Balanced            , Media-friendly              , Reasonable    , Very Strong   ,1.0,13.0,1.0,11.0,12.0,8.0,12.0,9.0,3.0,8.0,12.0,11.0,9.0,14.0,12.0,12.0,14.0,13.0,2.0,7.0,7.0,2.0,5.0,13.0,3.0,10.0,12.0,12.0,6.0,3.0,11.0,7.0,4.0,11.0,12.0,3.0,1.0,13.0,11.0,4.0," 5'8""   ", Normal      ,2024-11-30, ,300000.0,850000.0,575000.0,5,8,172.72,15.0
555,     , Bruce Anderson                , ST (C)                           , SCO ,24.0, Livingston                , £140K - £1.4M   ,1000.0, -       , -           , -                            , Fairly Professional ," Media-friendly, Reserved    ", Weak          , Very Strong   ,3.0,13.0,3.0,8.0,12.0,13.0,12.0,11.0,2.0,12.0,13.0,9.0,10.0,12.0,10.0,12.0,11.0,10.0,4.0,10.0,10.0,3.0,8.0,10.0,6.0,14.0,13.0,9.0,10.0,1.0,12.0,10.0,8.0,14.0,12.0,2.0,3.0,11.0,15.0,7.0," 5'8""   ", Very High   ,2024-05-31, ,140000.0,1400000.0,770000.0,5,8,172.72,9.0
557,     , Henrique                      , D/WB (L)                         , BRA ,29.0, OL                        , £130K - £1.3M   ,6000.0, -       , -           , -                            , Balanced            , Media-friendly              , Very Strong   , Reasonable    ,2.0,12.0,3.0,12.0,13.0,13.0,12.0,15.0,2.0,13.0,11.0,11.0,12.0,12.0,11.0,8.0,11.0,11.0,1.0,10.0,10.0,1.0,10.0,9.0,12.0,11.0,12.0,11.0,13.0,1.0,14.0,11.0,12.0,15.0,12.0,2.0,3.0,11.0,15.0,8.0," 5'8""   ", Increased   ,2024-06-30, ,130000.0,1300000.0,715000.0,5,8,172.72,10.0
559, Wnt , Igor Silva                    , D/WB/M (R)                       , BRA ,26.0, FC Lorient                , £170K - £1.7M   ,4100.0, -       , -           , -                            , Balanced            , Media-friendly              , Weak          , Very Strong   ,3.0,15.0,3.0,14.0,14.0,12.0,11.0,11.0,2.0,11.0,12.0,12.0,12.0,13.0,14.0,8.0,14.0,15.0,2.0,9.0,7.0,1.0,8.0,10.0,12.0,12.0,16.0,11.0,10.0,2.0,14.0,7.0,11.0,12.0,13.0,3.0,3.0,12.0,13.0,10.0," 5'8""   ", High        ,2026-06-30, ,170000.0,1700000.0,935000.0,5,8,172.72,34.0
561,     , Stéphane Diarra               , M/AM (RL)                        , CIV ,24.0, ASSE                      , £275K - £2.7M   ,10750.0, -       , -           , -                            , Balanced            , Level-headed                , Reasonable    , Very Strong   ,3.0,14.0,1.0,12.0,15.0,11.0,11.0,9.0,3.0,10.0,10.0,12.0,10.0,12.0,14.0,9.0,12.0,13.0,1.0,8.0,7.0,1.0,7.0,11.0,6.0,12.0,15.0,12.0,9.0,3.0,12.0,6.0,7.0,12.0,14.0,2.0,3.0,11.0,13.0,12.0," 5'8""   ", Low         ,2025-06-30, ,275000.0,2700000.0,1487500.0,5,8,172.72,22.0
563,     , Romain Perraud                , D/WB (L)                         , FRA ,25.0, OGC Nice                  , £6.2M - £7.4M   ,24000.0, -       , -           , -                            , Fairly Determined   , Level-headed                , Very Strong   , Weak          ,2.0,12.0,4.0,14.0,14.0,13.0,15.0,14.0,1.0,13.0,13.0,15.0,13.0,15.0,14.0,8.0,13.0,12.0,1.0,8.0,6.0,3.0,8.0,15.0,10.0,13.0,13.0,12.0,13.0,2.0,14.0,10.0,12.0,16.0,14.0,3.0,4.0,13.0,16.0,10.0," 5'8""   ", Low         ,2025-06-30, ,6200000.0,7400000.0,6800000.0,5,8,172.72,22.0
565, nEU , Matheus Henrique              ," DM, M (C)                        ", BRA ,25.0, Sassuolo                  , £170K - £5M     ,9500.0, -       , -           , -                            , Resolute            , Reserved                    , Weak          , Very Strong   ,3.0,13.0,1.0,14.0,14.0,14.0,13.0,14.0,2.0,13.0,14.0,5.0,14.0,15.0,15.0,11.0,15.0,13.0,1.0,8.0,8.0,1.0,10.0,11.0,10.0,14.0,14.0,15.0,14.0,1.0,13.0,11.0,12.0,15.0,15.0,3.0,2.0,14.0,15.0,4.0," 5'8""   ", Low         ,2026-06-30, ,170000.0,5000000.0,2585000.0,5,8,172.72,34.0
567,     , Migouel Alfarela              ," AM (RC), ST (C)                  ", FRA ,25.0, SC Bastia                 , £375K - £1.1M   ,2600.0, -       , -           , -                            , Balanced            , Media-friendly              , Weak          , Very Strong   ,1.0,14.0,1.0,7.0,13.0,9.0,12.0,8.0,1.0,9.0,10.0,10.0,9.0,4.0,13.0,9.0,12.0,12.0,2.0,6.0,7.0,1.0,10.0,8.0,5.0,11.0,15.0,13.0,10.0,1.0,12.0,7.0,6.0,12.0,13.0,3.0,3.0,12.0,12.0,11.0," 5'8""   ", Low         ,2025-06-30, ,375000.0,1100000.0,737500.0,5,8,172.72,22.0
569,     , Issah Abass                   ," AM (RL), ST (C)                  ", GHA ,24.0, Chaves                    , £150K - £1.5M   ,2100.0, -       , -           , -                            , Balanced            , Outspoken                   , Weak          , Very Strong   ,3.0,16.0,3.0,15.0,15.0,10.0,12.0,14.0,2.0,9.0,8.0,9.0,8.0,13.0,12.0,10.0,12.0,15.0,1.0,7.0,6.0,4.0,5.0,12.0,6.0,12.0,15.0,10.0,6.0,1.0,11.0,10.0,7.0,11.0,12.0,2.0,2.0,10.0,14.0,7.0," 5'8""   ", Increased   ,2025-06-30, ,150000.0,1500000.0,825000.0,5,8,172.72,22.0
571, Opt , Takuma Asano                  ," AM (RLC), ST (C)                 ", JPN ,28.0, VfL Bochum                , £180K - £1.8M   ,14000.0, -       , -           , -                            , Balanced            , Level-headed                , Fairly Strong , Very Strong   ,2.0,16.0,1.0,8.0,16.0,12.0,10.0,12.0,3.0,9.0,10.0,9.0,9.0,12.0,12.0,10.0,11.0,12.0,1.0,10.0,9.0,3.0,6.0,9.0,7.0,12.0,16.0,11.0,7.0,1.0,12.0,10.0,7.0,11.0,12.0,2.0,2.0,11.0,14.0,8.0," 5'8""   ", Low         ,2024-06-30, ,180000.0,1800000.0,990000.0,5,8,172.72,10.0
573,     , Will Ferry                    , D/WB/M (L)                       , IRL ,22.0, Cheltenham                , £190K - £550K   ,1500.0, -       , -           , -                            , Fairly Determined   , Media-friendly              , Very Strong   , Reasonable    ,1.0,12.0,2.0,13.0,12.0,7.0,11.0,8.0,3.0,10.0,8.0,11.0,10.0,15.0,12.0,8.0,11.0,14.0,2.0,6.0,7.0,2.0,6.0,8.0,8.0,10.0,11.0,12.0,10.0,1.0,12.0,6.0,10.0,12.0,12.0,2.0,1.0,10.0,12.0,12.0," 5'8""   ", Low         ,2024-06-30, ,190000.0,550000.0,370000.0,5,8,172.72,10.0
577,     , Tommaso Milanese              , M (C)                            , ITA ,21.0, Ascoli                    , £3.3M - £6.4M   ,725.0, -       , -           , -                            , Fairly Determined   , Level-headed                , Reasonable    , Very Strong   ,1.0,12.0,3.0,14.0,14.0,12.0,11.0,13.0,3.0,12.0,12.0,10.0,10.0,15.0,12.0,10.0,14.0,11.0,1.0,8.0,8.0,3.0,8.0,12.0,10.0,14.0,12.0,13.0,10.0,3.0,12.0,8.0,10.0,13.0,13.0,2.0,1.0,12.0,13.0,10.0," 5'8""   ", Increased   ,2026-06-30, ,3300000.0,6400000.0,4850000.0,5,8,172.72,34.0
579,     , Victor Loturi                 ," DM, M (C)                        ", CAN ,22.0, Ross County               , £450K - £1.3M   ,1200.0, -       , -           , -                            , Balanced            , Media-friendly              , Reasonable    , Very Strong   ,1.0,13.0,3.0,10.0,12.0,13.0,12.0,12.0,1.0,11.0,11.0,10.0,8.0,9.0,12.0,7.0,12.0,8.0,3.0,7.0,7.0,1.0,15.0,7.0,11.0,6.0,13.0,12.0,11.0,1.0,14.0,10.0,12.0,15.0,7.0,2.0,3.0,8.0,16.0,10.0," 5'8""   ", Low         ,2025-05-31, ,450000.0,1300000.0,875000.0,5,8,172.72,21.0
581,     , Gustavo Ledes                 ," DM, M/AM (C)                     ", POR ,30.0, AEK Larnakas              , £500K - £1.1M   ,2600.0, -       , -           , -                            , Balanced            , Level-headed                , Very Strong   , Weak          ,4.0,13.0,2.0,11.0,14.0,14.0,12.0,9.0,3.0,11.0,13.0,12.0,12.0,12.0,12.0,8.0,14.0,14.0,4.0,6.0,8.0,2.0,11.0,12.0,10.0,11.0,12.0,13.0,13.0,2.0,12.0,7.0,11.0,16.0,13.0,4.0,3.0,13.0,12.0,14.0," 5'8""   ", Increased   ,2025-05-31, ,500000.0,1100000.0,800000.0,5,8,172.72,21.0
583, Inj , Salem Al-Dawsari              , M/AM (RL)                        , KSA ,31.0, Al-Hilal (KSA)            , £45M - £54M     ,53000.0, -       , -           , -                            , Fairly Professional , Level-headed                , Reasonable    , Very Strong   ,2.0,13.0,3.0,10.0,15.0,13.0,15.0,10.0,2.0,9.0,12.0,11.0,13.0,14.0,17.0,14.0,15.0,16.0,2.0,7.0,7.0,1.0,14.0,13.0,5.0,14.0,14.0,13.0,9.0,3.0,14.0,12.0,6.0,11.0,16.0,1.0,3.0,14.0,14.0,13.0," 5'8""   ", High        ,2025-06-30, ,45000000.0,54000000.0,49500000.0,5,8,172.72,22.0
585,     , Adrián Embarba                , M/AM (RL)                        , ESP ,31.0, Almería                   , £325K - £3.2M   ,11000.0, -       , £15M        , -                            , Balanced            , Media-friendly              , Fairly Strong , Very Strong   ,3.0,13.0,1.0,11.0,15.0,15.0,12.0,11.0,3.0,13.0,14.0,14.0,14.0,12.0,15.0,12.0,13.0,14.0,1.0,7.0,7.0,3.0,11.0,12.0,5.0,14.0,14.0,13.0,7.0,3.0,12.0,10.0,5.0,9.0,14.0,1.0,4.0,13.0,12.0,11.0," 5'8""   ", Increased   ,2024-06-30, ,325000.0,3200000.0,1762500.0,5,8,172.72,10.0
587,     , Luis Rioja                    ," M (L), AM (RL)                   ", ESP ,29.0, Alavés                    , £4.9M - £7.4M   ,12250.0, -       , £12.75M     , -                            , Fairly Professional , Level-headed                , Very Strong   , Weak          ,2.0,15.0,1.0,13.0,14.0,13.0,10.0,14.0,1.0,12.0,12.0,12.0,13.0,14.0,14.0,12.0,12.0,12.0,1.0,6.0,7.0,2.0,12.0,8.0,8.0,14.0,17.0,11.0,12.0,3.0,14.0,9.0,10.0,14.0,13.0,2.0,2.0,12.0,14.0,14.0," 5'8""   ", Low         ,2025-06-30, ,4900000.0,7400000.0,6150000.0,5,8,172.72,22.0
589,     , Alan Browne                   ," DM, M/AM (C)                     ", IRL ,28.0, Preston                   , £275K - £2.8M   ,16000.0, -       , -           , -                            , Fairly Loyal        , Level-headed                , Reasonable    , Very Strong   ,1.0,12.0,2.0,12.0,13.0,13.0,12.0,14.0,1.0,12.0,11.0,10.0,11.0,12.0,8.0,10.0,13.0,11.0,1.0,12.0,11.0,1.0,16.0,12.0,11.0,12.0,10.0,12.0,13.0,1.0,13.0,12.0,13.0,15.0,12.0,1.0,3.0,10.0,15.0,12.0," 5'8""   ", High        ,2024-06-30, ,275000.0,2800000.0,1537500.0,5,8,172.72,10.0
593, Wnt , Lucas                         ," D (RL), AM (R)                   ", ESP ,28.0, Oviedo                    , £375K - £3.6M   ,7250.0, -       , £5.5M       , -                            , Balanced            , Media-friendly              , Reasonable    , Very Strong   ,1.0,14.0,2.0,12.0,13.0,12.0,13.0,12.0,1.0,12.0,11.0,14.0,12.0,14.0,13.0,11.0,12.0,9.0,1.0,12.0,9.0,1.0,11.0,10.0,13.0,13.0,13.0,12.0,12.0,3.0,13.0,12.0,12.0,13.0,12.0,1.0,2.0,10.0,14.0,8.0," 5'8""   ", Normal      ,2025-06-30, ,375000.0,3600000.0,1987500.0,5,8,172.72,22.0
595,     , Will Smallbone                ," DM, M (C)                        ", IRL ,23.0, Southampton               , £3.9M - £5.8M   ,24000.0, -       , -           , -                            , Balanced            , Level-headed                , Fairly Strong , Very Strong   ,2.0,12.0,1.0,7.0,13.0,13.0,13.0,7.0,2.0,13.0,13.0,12.0,13.0,13.0,13.0,10.0,14.0,12.0,3.0,9.0,11.0,3.0,9.0,9.0,7.0,13.0,12.0,14.0,11.0,2.0,14.0,9.0,11.0,14.0,14.0,2.0,1.0,16.0,14.0,9.0," 5'8""   ", Very High   ,2026-06-30, ,3900000.0,5800000.0,4850000.0,5,8,172.72,34.0
